Row Labels,Count of Order ID,,,Row Labels,Average of Lead time,StdDev of Lead time,,,,,,,,,,,,,,
United States → Wyoming,1,,,United States → West Virginia,1638,2,,,,,,,,,,,,,,
Canada → Saskatchewan,2,,,United States → North Dakota,1637.857143,1.463850109,,,,Top 10 Most Efficient Routes,Average of Lead time,,,Bottom 10 Least Efficient Routes,Average of Lead time,,,Row Labels,Average of Lead time,
United States → West Virginia,4,,,Canada → Saskatchewan,1457,258.8010819,,,,United States → Maine,1137.125,,,United States → West Virginia,1638,,,First Class,1338.27584,
Canada → Newfoundland and Labrador,6,,,Canada → Manitoba,1455.333333,191.1398029,,,,Canada → Newfoundland and Labrador,1216.166667,,,United States → North Dakota,1637.857143,,,Same Day,1333.442413,
Canada → Nova Scotia,6,,,United States → Iowa,1443.9,229.801466,,,,United States → Nevada,1226.794872,,,Canada → Saskatchewan,1457,,,Second Class,1323.845376,
United States → North Dakota,7,,,United States → New Mexico,1441.837838,267.1980657,,,,United States → Virginia,1229.125,,,Canada → Manitoba,1455.333333,,,Standard Class,1314.334641,
Canada → New Brunswick,8,,,United States → Vermont,1438.909091,190.9997144,,,,Canada → Ontario,1247.465517,,,United States → Iowa,1443.9,,,Grand Total,1320.841868,
United States → Maine,8,,,Canada → Prince Edward Island,1420.3,255.8141904,,,,United States → Utah,1253,,,United States → New Mexico,1441.837838,,,,,
United States → District of Columbia,10,,,United States → South Dakota,1395.916667,360.3509548,,,,United States → South Carolina,1255.428571,,,United States → Vermont,1438.909091,,,,,
Canada → Prince Edward Island,10,,,United States → Tennessee,1391.486339,248.2019706,,,,United States → Louisiana,1263.785714,,,Canada → Prince Edward Island,1420.3,,,,,
United States → Vermont,11,,,United States → Indiana,1381.496644,242.3537627,,,,United States → Mississippi,1266.566038,,,United States → South Dakota,1395.916667,,,,,
United States → South Dakota,12,,,United States → Washington,1360.662055,272.1219631,,,,United States → Oregon,1267.709677,,,United States → Tennessee,1391.486339,,,,,
Canada → Manitoba,12,,,United States → Connecticut,1357.54878,271.682874,,,,,,,,,,,,,,
United States → Montana,15,,,United States → Maryland,1356.780952,238.8977083,,,,,,,,,,,,,,
United States → Idaho,21,,,United States → District of Columbia,1347.7,153.528897,,,,,,,,,,,,,Row Labels,Count of Delayed Shipment.
Canada → British Columbia,22,,,United States → Wisconsin,1343,224.1127665,,,,,,,,,,,,,0,1911
United States → Kansas,24,,,United States → Idaho,1342.571429,273.9296573,,,,,,,,,,,,,1,8283
Canada → Alberta,26,,,United States → Missouri,1339.863636,278.4147922,,,,,Row Labels,Average of Lead time,Count of Order ID,,Row Labels,Average of Lead time,,,(blank),
United States → New Hampshire,27,,,United States → Georgia,1338.63587,249.1828679,,,,,Interior,1323.091221,2335,,First Class,1338.27584,,,Grand Total,10194
United States → Iowa,30,,,United States → New Jersey,1338.330769,247.3205367,,,,,Atlantic,1322.745144,2986,,Same Day,1333.442413,,,,
United States → New Mexico,37,,,United States → Colorado,1337.186813,249.6769587,,,,,Pacific,1322.194897,3253,,Second Class,1323.845376,,,,
United States → Nebraska,38,,,United States → Minnesota,1335.47191,297.6519127,,,,,Gulf,1311.374691,1620,,Standard Class,1314.334641,,,,
